post_id,id,title,short_title,address,state,state_code,lat,lng,types,url,email,phone
14709,8234,Abilene Christian University,ACU,"1812 Ave F
 Abilene,  TX 79699",texas,tx,32.469386,-99.708344,['higher-ed-store'],https://acu.bncollege.com,sm8234@bncollege.com,+13256742524
15000,4470V,Abilene Christian University,ACU,"16633 Dallas Pkwy #800
 Addison,  TX 75001",texas,tx,32.9769379,-96.8268095,['higher-ed-virtual-store'],https://bncvirtual.com/abilenechristian,vb@bncservices.com,+18003253252
15440,37770V,Admiral Farragut Academy,Admiral Farragut Academy,"501 Park St N
 St. Petersburg,  FL 33710",florida,fl,27.7788702,-82.74396460000001,['k12-virtual-store'],https://bnck-12.com/farragut,vb@bncservices.com,+18003253252
18026,,Agbu Manoogian-Demirdjian,,"
",,,,,[],,,
15737,10789v,Agbu Manoogian-Demirdjian,Agbu Manoogian-Demirdjian,"6844 Oakdale Ave
 Canoga Park,  CA 91306",california,ca,34.1948608,-118.5663475,['k12-virtual-store'],https://bnck-12.com/agbumds ,vb@bncservices.com,+18003253252
17345,10789v,Agbu Manoogian-Demirdjian,Agbu Manoogian-Demirdjian,"6844 Oakdale Avenue
 Canoga Park,  Los Angeles",california,ca,34.1948608,-118.5663475,['K12 Virtual Store'],https://bnck-12.com/agbumds,vb@bncservices.com,+18003253252
14677,8107,Aims Community College,Aims Community College,"5121 W 20th St
 Greeley,  CO 80631",colorado,co,40.4069394,-104.7638159,['higher-ed-store'],http://aims.bncollege.com,sm8107@bncollege.com,+19703396457
14242,8429,Alamo Colleges – Northeast Lakeview,Alamo Colleges - Northeast Lakeview,"1201 Kitty Hawk Rd
 Universal City,  TX 78148",texas,tx,29.5468918,-98.32116359999999,['higher-ed-store'],nlc.bncollege.com,sm8429@bncollege.com,+12104865449
14239,8428,Alamo Colleges – Northwest Vista,Northwest Vista College,"3535 N Ellison Dr
 San Antonio,  TX 78251",texas,tx,29.472379,-98.7065206,['higher-ed-store'],nvc.bncollege.com,sm8428@bncollege.com,+12107069291
14201,8426,Alamo Colleges – Palo Alto,Palo Alto College,"1400 W Villaret Blvd
 San Antonio,  TX 78224",texas,tx,29.32401279999999,-98.545026,['higher-ed-store'],pac.bncollege.com,sm8426@bncollege.com,+12109778382
14240,8425,Alamo Colleges – San Antonio,San Antonio College,"Loftin Student Center
 402 W Dewey Pl,  San Antonio,  TX 78212",texas,tx,29.4463314,-98.4974955,['higher-ed-store'],sac.bncollege.com,sm8425@bncollege.com,+12107335960
14202,8427,Alamo Colleges – St. Philip’s,St. Philip's College,"1801 Martin Luther King Dr
 San Antonio,  TX 78203",texas,tx,29.41631599999999,-98.4540688,['higher-ed-store'],spc.bncollege.com,sm8427@bncollege.com,+12105348024
15369,37306V,Alaska Pacific University,Alaska Pacific University,"Grant Hall
 4101 University Dr,  Anchorage,  AK 99508",alaska,ak,61.18949000000001,-149.8066266,['higher-ed-virtual-store'],https://bncvirtual.com/alaskapacific,vb@bncservices.com,+18003253252
14676,673,Albion College,Albion College,"611 E Porter St
 Albion,  MI 49224",michigan,mi,42.2441746,-84.7432037,['higher-ed-store'],http://albion.bncollege.com,sm673@bncollege.com,+15176290391
15152,6615V,Alfred State College,Alfred State College,"10 Upper College Dr
 Alfred,  NY 14802",new-york,ny,42.2552377,-77.7946533,['higher-ed-virtual-store'],https://bncvirtual.com/alfredstate,vb@bncservices.com,+18003253252
14674,549,Alfred University,Alfred University,"lfred
 NY 14802",new-york,ny,42.254462,-77.7881008,['higher-ed-store'],http://alfred.bncollege.com,sm549@bncollege.com,+16078712350
15019,37982V,Allegheny College,Allegheny College,"Montgomery Hall
 520 N Main St,  Meadville,  PA 16335",pennsylvania,pa,41.6482949,-80.1454261,['higher-ed-virtual-store'],https://bncvirtual.com/allegheny,vb@bncservices.com,+18003253252
14987,10625V,Alliant International University,Alliant International University,"10455 Pomerado Rd
 San Diego,  CA 92131",california,ca,32.8965805,-117.0944537,['higher-ed-virtual-store'],https://bncvirtual.com/alliant,vb@bncservices.com,+18003253252
15437,37779V,American Heritage School – Broward,American Heritage School - Broward,"12200 W Broward Blvd
 Plantation,  FL 33325",florida,fl,26.1207351,-80.3109276,['k12-virtual-store'],https://bnck-12.com/ahschoolp,vb@bncservices.com,+18003253252
15410,37820V,American Heritage School – Palm Beach,American Heritage School - Palm Beach,"6200 Linton Blvd
 Delray Beach,  FL 33484",florida,fl,26.4370005,-80.1407649,['k12-virtual-store'],https://bnck-12.com/ahschoolb,vb@bncservices.com,+18003253252
15277,34992V,Andrew College,Andrew College,"501 College St
 Cuthbert,  GA 39840",georgia,ga,31.7734869,-84.7939237,['higher-ed-virtual-store'],https://bncvirtual.com/andrew,vb@bncservices.com,+18003253252
18012,,Angelina College,,"
",,,,,[],,,
16048,10842V,Angelina College,Angelina College,"3500 South First Street
 Lufkin,  TX 75901",texas,tx,31.2871142,-94.7318131,[],https://bncvirtual.com/angelina,vb@bncservices.com,+18003253252
17328,10842v,Angelina College,Angelina College,"3500 South First Street
 Lufkin,  TX",texas,tx,31.2871142,-94.7318131,['Higher Ed Virtual Store'],https://bncvirtual.com/angelina,vb@bncservices.com,+18667679337
14231,8417,Antelope Valley College,AVC,"udent Center
 3041 W Ave K,  Lancaster,  CA 93536",california,ca,34.6761152,-118.1860009,['higher-ed-store'],https://avc.bncollege.com/,sm8417@bncollege.com,+16617226545
